Protein1,Protein2,PartialCor
1433EPSILON,CHK1,-0.09957
1433EPSILON,COLLAGENVI,-0.09725
1433EPSILON,CYCLIND1,-0.11321
1433EPSILON,DJ1,-0.10746
1433EPSILON,FOXO3A,-0.14162
1433EPSILON,LKB1,-0.0448
1433EPSILON,NOTCH1,-0.12022
1433EPSILON,P27PT157,-0.04874
1433EPSILON,P38MAPK,-0.08169
1433EPSILON,P70S6KPT389,-0.08832
1433EPSILON,PI3KP110ALPHA,-0.11901
1433EPSILON,PKCDELTAPS664,-0.03549
1433EPSILON,RAD51,-0.10328
1433EPSILON,SMAD4,-0.12698
1433EPSILON,YAP,-0.09663
4EBP1,4EBP1PS65,-0.19928
4EBP1,4EBP1PT37T46,-0.38486
4EBP1,AKTPS473,0.08896
4EBP1,EIF4E,-0.27317
4EBP1,ERALPHA,0.09766
4EBP1,GATA3,-0.08556
4EBP1,GSK3ALPHABETAPS21S9,0.15632
4EBP1,PCNA,-0.12312
4EBP1,S6PS235S236,0.1088
4EBP1,YAPPS127,0.12047
4EBP1PS65,4EBP1PT37T46,-0.29232
4EBP1PS65,CHK1,-0.04415
4EBP1PS65,CHK1PS345,-0.10189
4EBP1PS65,CHK2PT68,-0.03127
4EBP1PS65,FOXO3A,-0.01407
4EBP1PS65,GATA3,0.0814
4EBP1PS65,NF2,-0.06381
4EBP1PS65,RBPS807S811,-0.14609
4EBP1PS65,JNKPT183Y185,0.12388
4EBP1PT37T46,ACC1,0.04372
4EBP1PT37T46,AMPKPT172,0.13319
4EBP1PT37T46,CHK1PS345,0.09769
4EBP1PT37T46,GSK3ALPHABETAPS21S9,-0.22502
4EBP1PT37T46,MAPKPT202Y204,-0.09046
4EBP1PT37T46,P70S6KPT389,-0.10423
4EBP1PT37T46,S6PS240S244,-0.17022
4EBP1PT37T46,SRCPY527,-0.04769
53BP1,BETACATENIN,-0.12551
53BP1,ERALPHA,-0.1439
53BP1,KU80,-0.21157
53BP1,P70S6KPT389,0.17671
53BP1,RBPS807S811,-0.11892
53BP1,S6,-0.00036
53BP1,SMAD1,-0.04511
53BP1,SRCPY527,0.11514
53BP1,TUBERIN,-0.21524
ACCPS79,ACC1,-0.79322
ACCPS79,AMPKPT172,-0.08091
ACCPS79,BAX,0.10202
ACCPS79,CRAFPS338,0.06907
ACCPS79,GSK3ALPHABETA,0.22926
ACCPS79,GSK3ALPHABETAPS21S9,-0.27039
ACCPS79,HSP70,-0.06205
ACCPS79,LCK,0.04984
ACCPS79,P27PT157,-0.01456
ACCPS79,PAXILLIN,-0.10982
ACCPS79,PDK1PS241,0.13443
ACCPS79,PKCALPHA,0.07372
ACCPS79,PKCDELTAPS664,-0.06893
ACCPS79,STAT5ALPHA,-0.18303
ACCPS79,STATHMIN,0.06901
ACC1,AR,-0.09682
ACC1,CYCLINB1,-0.00094
ACC1,EGFRPY1173,0.05647
ACC1,GSK3ALPHABETA,-0.25988
ACC1,GSK3ALPHABETAPS21S9,0.25231
ACC1,PAXILLIN,0.09326
ACC1,PCNA,-0.15322
ACC1,PDK1PS241,-0.18529
ACC1,PKCDELTAPS664,0.02947
ACC1,STAT5ALPHA,0.12549
AKT,AKTPS473,-0.06808
AKT,ATM,-0.13297
AKT,CMYC,-0.14165
AKT,DVL3,-0.19151
AKT,ERK2,-0.16025
AKT,GSK3ALPHABETA,-0.098
AKT,JNK2,-0.10598
AKT,P70S6K,-0.22419
AKT,PDK1PS241,-0.19642
AKT,PTEN,-0.29279
AKTPS473,AKTPT308,-0.70852
AKTPS473,AMPKALPHA,0.10448
AKTPS473,AMPKPT172,-0.10314
AKTPS473,AR,-0.06568
AKTPS473,CDK1,0.12413
AKTPS473,FIBRONECTIN,0.03711
AKTPS473,GATA3,0.03514
AKTPS473,HSP70,0.04677
AKTPS473,INPP4B,0.12034
AKTPS473,MAPKPT202Y204,-0.22206
AKTPS473,P70S6KPT389,-0.04249
AKTPS473,PAXILLIN,-0.05396
AKTPS473,PRAS40PT246,-0.12746
AKTPS473,SRC,0.08379
AKTPS473,VEGFR2,0.05786
AKTPS473,XRCC1,0.11061
AKTPS473,MTORPS2448,-0.09938
AKTPT308,AMPKALPHA,-0.18534
AKTPT308,AMPKPT172,0.2197
AKTPT308,CDK1,-0.15193
AKTPT308,CHK1,-0.05978
AKTPT308,CYCLINB1,0.05559
AKTPT308,GSK3ALPHABETAPS21S9,-0.12924
AKTPT308,MAPKPT202Y204,0.13769
AKTPT308,PDK1PS241,-0.03823
AKTPT308,PRAS40PT246,-0.16431
AKTPT308,PTEN,0.14367
AKTPT308,MTORPS2448,0.07871
AKTPT308,EGFR,-0.08376
AMPKALPHA,AMPKPT172,-0.42793
AMPKALPHA,BIM,0.16045
AMPKALPHA,CAVEOLIN1,-0.11581
AMPKALPHA,CHK1,-0.06546
AMPKALPHA,COLLAGENVI,0.16835
AMPKALPHA,INPP4B,-0.09197
AMPKALPHA,NFKBP65PS536,0.20955
AMPKPT172,ATM,-0.11548
AMPKPT172,JNK2,-0.18406
AMPKPT172,NFKBP65PS536,-0.15054
AMPKPT172,PKCALPHA,-0.10847
AMPKPT172,PKCALPHAPS657,-0.05936
AR,BCL2,0.08222
AR,ERALPHA,-0.08689
AR,FIBRONECTIN,-0.11015
AR,GAB2,0.11275
AR,GATA3,-0.20006
AR,INPP4B,-0.22406
AR,JNK2,-0.10979
AR,VEGFR2,0.1062
AR,EGFR,0.07356
ATM,BCLXL,0.08807
ATM,CDK1,0.09916
ATM,CYCLINB1,0.12913
ATM,CYCLIND1,0.20206
ATM,EEF2,0.08083
ATM,LCK,-0.22111
ATM,MRE11,-0.09216
ATM,PEA15,0.10501
ATM,RAD50,-0.24418
ATM,RAD51,0.12486
ATM,S6,-0.16345
ATM,STAT5ALPHA,-0.00263
ATM,SYK,-0.23756
ATM,TUBERIN,-0.17161
BAK,CMETPY1235,-0.14102
BAK,CMYC,0.18149
BAK,CHK1,0.09937
BAK,EGFRPY1173,-0.23563
BAK,HER3,-0.17047
BAK,HER3PY1298,-0.19118
BAK,MAPKPT202Y204,-0.04322
BAK,MTOR,0.06322
BAK,NCADHERIN,-0.07961
BAK,P27PT157,0.08858
BAK,P90RSKPT359S363,0.1718
BAK,RAD51,-0.14063
BAK,SMAD3,-0.27645
BAK,SMAD4,-0.149
BAK,SRC,-0.12734
BAK,XRCC1,-0.1416
BAK,YAP,-0.14744
BAK,MTORPS2448,0.13668
BAX,BCLXL,-0.21757
BAX,CMYC,0.24939
BAX,EGFRPY1068,0.09682
BAX,FIBRONECTIN,-0.10709
BAX,HER2,0.06384
BAX,LKB1,-0.0775
BAX,LCK,-0.1541
BAX,PCNA,-0.09043
BAX,PEA15,-0.24887
BAX,PI3KP110ALPHA,0.12198
BCL2,BIM,-0.21585
BCL2,CASPASE7CLEAVEDD198,0.04998
BCL2,CAVEOLIN1,-0.00158
BCL2,CYCLINB1,0.1154
BCL2,DJ1,-0.17822
BCL2,ERALPHA,-0.0834
BCL2,GATA3,-0.0947
BCL2,HER2PY1248,0.09302
BCL2,INPP4B,-0.13076
BCL2,P27,-0.23479
BCL2,P53,0.08683
BCL2,SMAD3,-0.13303
BCL2,TUBERIN,0.07867
BCLXL,BECLIN,-0.02006
BCLXL,BID,-0.1334
BCLXL,CHK1PS345,-0.05171
BCLXL,DJ1,-0.06377
BCLXL,EEF2,-0.17513
BCLXL,FIBRONECTIN,0.12341
BCLXL,GATA3,0.0358
BCLXL,GSK3ALPHABETA,-0.08344
BCLXL,HSP70,0.07348
BCLXL,JNK2,-0.13537
BCLXL,LKB1,-0.01734
BCLXL,LCK,0.0438
BCLXL,NCADHERIN,-0.2061
BCLXL,P27PT157,-0.04779
BCLXL,PRAS40PT246,0.06576
BCLXL,RAD51,-0.14354
BCLXL,STATHMIN,0.10171
BCLXL,YB1,-0.1519
BECLIN,BID,0.10066
BECLIN,CJUNPS73,-0.0917
BECLIN,CMETPY1235,-0.09411
BECLIN,CMYC,-0.21793
BECLIN,CD31,-0.13773
BECLIN,CYCLIND1,-0.07191
BECLIN,INPP4B,-0.11092
BECLIN,MRE11,-0.12063
BECLIN,P53,-0.17953
BECLIN,PKCDELTAPS664,-0.14168
BECLIN,SMAD4,-0.02655
BETACATENIN,CKIT,-0.05733
BETACATENIN,CMETPY1235,0.00899
BETACATENIN,CHK1PS345,-0.05924
BETACATENIN,CHK2,0.03793
BETACATENIN,DVL3,-0.15922
BETACATENIN,ECADHERIN,-0.72646
BETACATENIN,EIF4E,0.17832
BETACATENIN,ERALPHA,0.11032
BETACATENIN,ERK2,-0.15671
BETACATENIN,HER2PY1248,0.09266
BETACATENIN,HER3,-0.07871
BETACATENIN,JNK2,-0.17172
BETACATENIN,NF2,-0.20998
BETACATENIN,P38MAPK,0.07728
BETACATENIN,PAXILLIN,-0.18911
BETACATENIN,PCNA,0.14671
BETACATENIN,RAD50,-0.09729
BETACATENIN,SRCPY416,-0.02212
BID,CMYC,-0.18568
BID,CD31,0.04086
BID,CHK1PS345,-0.06206
BID,COLLAGENVI,-0.08372
BID,CYCLIND1,-0.20835
BID,EGFRPY1173,-0.17776
BID,HER2PY1248,-0.01486
BID,HER3PY1298,-0.1188
BID,HSP70,-0.12417
BID,MRE11,-0.07846
BID,NCADHERIN,-0.23777
BID,PCADHERIN,-0.09115
BID,P90RSKPT359S363,-0.14319
BID,PCNA,0.04893
BID,RBPS807S811,0.14197
BID,S6,0.04041
BID,SRCPY416,0.14666
BID,STATHMIN,-0.10254
BID,MTORPS2448,0.08574
BIM,CHK2,-0.14316
BIM,CYCLINB1,-0.20545
BIM,DJ1,-0.14009
BIM,GATA3,-0.16776
BIM,P27,-0.23632
BIM,RAD51,0.04535
BIM,RBPS807S811,0.13222
CJUNPS73,CAVEOLIN1,0.07508
CJUNPS73,CDK1,-0.20365
CJUNPS73,FOXO3A,-0.12233
CJUNPS73,GATA3,-0.04036
CJUNPS73,IRS1,-0.07432
CJUNPS73,PAXILLIN,-0.03985
CJUNPS73,SRCPY527,-0.16482
CJUNPS73,YB1PS102,-0.13409
CJUNPS73,JNKPT183Y185,-0.19912
CKIT,CHK2,-0.05872
CKIT,COLLAGENVI,-0.25633
CKIT,ERALPHA,0.15024
CKIT,JNK2,0.10375
CKIT,MEK1PS217S221,0.05345
CKIT,P27,-0.25473
CKIT,PAXILLIN,0.18936
CKIT,PAI1,0.07862
CMETPY1235,CRAF,-0.07889
CMETPY1235,CRAFPS338,-0.06574
CMETPY1235,CD31,-0.09333
CMETPY1235,CHK1PS345,-0.14071
CMETPY1235,CHK2PT68,-0.14098
CMETPY1235,EGFRPY1173,-0.11123
CMETPY1235,LCK,0.06627
CMETPY1235,MRE11,-0.12054
CMETPY1235,MTOR,-0.06306
CMETPY1235,NF2,-0.01225
CMETPY1235,PCADHERIN,0.06005
CMETPY1235,P27PT157,-0.08137
CMETPY1235,P90RSKPT359S363,0.03048
CMETPY1235,PDK1PS241,0.10978
CMETPY1235,PKCDELTAPS664,-0.09041
CMETPY1235,STATHMIN,-0.08424
CMYC,CAVEOLIN1,-0.08927
CMYC,CDK1,-0.13189
CMYC,ECADHERIN,0.09666
CMYC,EGFRPY1068,0.11211
CMYC,HER3,-0.17527
CMYC,JNK2,0.14297
CMYC,P27PT157,-0.17023
CMYC,P70S6KPT389,-0.12251
CMYC,PTEN,0.09822
CMYC,STAT5ALPHA,-0.08065
CMYC,STATHMIN,-0.09576
CMYC,YB1,-0.16785
CRAF,NOTCH1,-0.0784
CRAF,P27PT157,-0.05424
CRAF,P90RSKPT359S363,-0.01864
CRAF,RAD51,-0.07293
CRAF,SYK,-0.14954
CRAF,TUBERIN,-0.15754
CRAFPS338,CHK1,-0.08662
CRAFPS338,CHK1PS345,-0.09423
CRAFPS338,CHK2PT68,-0.02889
CRAFPS338,CIAP,-0.0564
CRAFPS338,GATA3,0.00104
CRAFPS338,HER3PY1298,-0.06905
CRAFPS338,JNK2,0.10984
CRAFPS338,MEK1PS217S221,-0.06912
CRAFPS338,NCADHERIN,-0.07174
CRAFPS338,P38PT180Y182,0.05824
CRAFPS338,PCNA,-0.10433
CRAFPS338,PKCDELTAPS664,-0.07598
CRAFPS338,RAD51,-0.02776
CRAFPS338,STATHMIN,-0.09496
CRAFPS338,XRCC1,-0.01963
CRAFPS338,YB1PS102,-0.10097
CRAFPS338,JNKPT183Y185,-0.06562
CRAFPS338,MTORPS2448,-0.12104
CASPASE7CLEAVEDD198,CHK1PS345,-0.11441
CASPASE7CLEAVEDD198,CYCLINB1,-0.11277
CASPASE7CLEAVEDD198,GAB2,0.14595
CASPASE7CLEAVEDD198,KU80,0.1278
CASPASE7CLEAVEDD198,LCK,-0.34865
CASPASE7CLEAVEDD198,NF2,-0.06663
CASPASE7CLEAVEDD198,S6PS240S244,-0.05571
CASPASE7CLEAVEDD198,SYK,-0.15814
CASPASE7CLEAVEDD198,ASNS,-0.14588
CAVEOLIN1,CD31,-0.12662
CAVEOLIN1,CHK1PS345,0.12171
CAVEOLIN1,CHK2PT68,0.23074
CAVEOLIN1,CLAUDIN7,0.18146
CAVEOLIN1,COLLAGENVI,-0.33913
CAVEOLIN1,DJ1,-0.10867
CAVEOLIN1,ERALPHA,-0.10822
CAVEOLIN1,ERALPHAPS118,0.10478
CAVEOLIN1,ERK2,-0.07796
CAVEOLIN1,FIBRONECTIN,0.15144
CAVEOLIN1,FOXO3A,0.07594
CAVEOLIN1,NFKBP65PS536,0.14031
CAVEOLIN1,P70S6KPT389,-0.1095
CAVEOLIN1,PAXILLIN,-0.20118
CAVEOLIN1,PKCALPHAPS657,-0.19211
CAVEOLIN1,PRAS40PT246,0.12106
CAVEOLIN1,SRCPY527,-0.23079
CAVEOLIN1,STAT3PY705,-0.15844
CAVEOLIN1,SYK,0.10971
CD31,CHK1,-0.02622
CD31,CHK2PT68,-0.10343
CD31,CIAP,-0.1001
CD31,EGFRPY1068,0.0872
CD31,HSP70,-0.11459
CD31,LKB1,-0.13478
CD31,MRE11,-0.14029
CD31,NCADHERIN,0.11238
CD31,P53,-0.19037
CD31,PKCALPHA,0.05771
CD31,S6,0.05189
CD31,SHCPY317,-0.21536
CD31,SRCPY416,-0.12104
CD31,STATHMIN,-0.08908
CD49B,CHK1PS345,-0.11417
CD49B,CLAUDIN7,-0.08986
CD49B,HER3,-0.10726
CD49B,PAI1,-0.20494
CDK1,CHK1,-0.18035
CDK1,CYCLINB1,-0.22815
CDK1,ERK2,-0.06212
CDK1,FIBRONECTIN,0.11544
CDK1,YAP,-0.14182
CHK1,CHK1PS345,-0.03341
CHK1,CHK2PT68,-0.06548
CHK1,ERK2,0.15319
CHK1,GSK3ALPHABETA,0.07494
CHK1,LKB1,-0.09442
CHK1,MRE11,-0.08254
CHK1,NCADHERIN,-0.15389
CHK1,PEA15,-0.0864
CHK1,RAD50,0.07877
CHK1,RAD51,-0.07923
CHK1,SMAD4,-0.08328
CHK1,STATHMIN,-0.16248
CHK1,XRCC1,-0.12363
CHK1PS345,CHK2PT68,-0.04876
CHK1PS345,CIAP,-0.11698
CHK1PS345,ERALPHAPS118,-0.07506
CHK1PS345,FIBRONECTIN,0.07958
CHK1PS345,GATA3,0.07296
CHK1PS345,GSK3ALPHABETA,0.0349
CHK1PS345,KU80,-0.03681
CHK1PS345,NF2,-0.04072
CHK1PS345,PCNA,-0.02673
CHK1PS345,RBPS807S811,-0.051
CHK1PS345,STATHMIN,-0.03316
CHK1PS345,YAP,-0.05641
CHK1PS345,MTORPS2448,-0.06117
CHK2,CHK2PT68,-0.10489
CHK2,CYCLINB1,-0.1812
CHK2,EEF2,-0.13607
CHK2,GSK3ALPHABETA,-0.14466
CHK2,HER2PY1248,0.05115
CHK2,HSP70,0.09357
CHK2,INPP4B,0.09119
CHK2,KU80,-0.17664
CHK2,NF2,5e-05
CHK2,P70S6K,0.05035
CHK2,RBPS807S811,-0.0517
CHK2PT68,HER3PY1298,-0.02159
CHK2PT68,MRE11,-0.16438
CHK2PT68,P27PT157,-0.08789
CHK2PT68,P53,-0.25367
CHK2PT68,SRCPY416,-0.19408
CHK2PT68,STATHMIN,-0.07419
CHK2PT68,XRCC1,0.06715
CIAP,GATA3,-0.11622
CIAP,HSP70,0.28002
